id,name,lat,lon
1,Alajuela,10.04650655098344,-84.220561396375615
2,Alfaro Ruiz,10.21771095432192,-84.39639298401477
3,Atenas,9.994266597486895,-84.40823472852767
4,Grecia,10.19479858367565,-84.2563412243166
5,Guatuso,10.72534921179442,-84.83849926827608
6,Los Chiles,10.834948709703255,-84.66797069574656
7,Naranjo,10.104595668548342,-84.40437234515744
8,Orotina,9.910063792597448,-84.5550549735531
9,Palmares,10.052745659323021,-84.43211692537965
10,Poás,10.123828726312901,-84.23263910643206
11,San Carlos,10.622089453004838,-84.46243228810228
12,San Mateo,9.965530220467185,-84.52826667474412
13,San Ramón,10.283668140972324,-84.57982514600305
14,Upala,10.90898780584596,-85.24270824432432
15,Valverde Vega,10.192408602658473,-84.3121781234567
16,Alvarado,9.948272041753661,-83.80707524869534
17,Cartago,9.853723134829323,-83.9449536415453
18,El Guarco,9.744381503293397,-83.9332360894237
19,Jiménez,9.809986482214953,-83.71726552090806
20,La Unión,9.915925535513267,-83.98721010269392
21,Oreamuno,9.964152836670442,-83.8612790178895
22,Paraíso,9.782778435161491,-83.76254606678546
23,Turrialba,9.776941849940592,-83.62630080388143
24,Abangares,10.167087382723837,-85.1293081718047
25,Bagaces,10.304863498940463,-85.28514478444036
26,Cañas,10.251252451070906,-85.23348074964882
27,Carrillo,10.542087983166644,-85.72820114049533
28,Hojancha,9.858465360321304,-85.47319690338597
29,La Cruz,10.924900047881387,-85.79181248333244
30,Liberia,10.646253418973261,-85.67319633037711
31,Nandayure,9.860415081677424,-85.24346581791141
32,Nicoya,9.984027415655401,-85.509026408283475
33,Santa Cruz,10.297919975143186,-85.80457946116073
34,Tilarán,10.473596158753285,-84.9298676105745
35,Barva,10.06475216922248,-84.12469107989163
36,Belén,9.98049275951947,-84.16607198468141
37,Flores,10.014254386098983,-84.155726758483965
38,Heredia,10.13518742556823,-84.08760723184173
39,San Isidro,10.031896219660002,-84.04059420210534
40,San Pablo,10.004707040877728,-84.09495321178866
41,San Rafael,10.047060020271626,-84.08471354912385
42,Santa Bárbara,10.066783653087082,-84.13981771315513
43,Santo Domingo,9.989926895113596,-84.06237133792432
44,Sarapiquí,10.718254741827636,-83.90133727371165
45,Guácimo,10.283869402531666,-83.65971476676765
46,Limón,9.927372286700805,-83.00764261611128
47,Matina,10.136244048754772,-83.21541648679943
48,Pococí,10.536804867233933,-83.50597700554539
49,Siquirres,10.26513949866546,-83.32069437692635
50,Talamanca,9.637354379689892,-82.76597664183032
51,Aguirre,9.37152559634232,-84.08847036896145
52,Buenos Aires,9.105816312045606,-83.22138393120264
53,Corredores,8.431879401743572,-82.93554893294663
54,Coto Brus,8.992248187763508,-82.8598598800531
55,Esparza,9.918894143513551,-84.72097600836443
56,Garabito,9.685556523152151,-84.65458275596163
57,Golfito,8.487081673816672,-83.17730184190152
58,Montes de Oro,10.112419711667737,-84.69988814031731
59,Osa,8.866799342056542,-83.63539789654605
60,Parrita,9.50957844720304,-84.39263616417715
61,Puntarenas,9.904302680461303,-85.005972707979
62,Acosta,9.754664711090994,-84.21280558153732
63,Alajuelita,9.882239382018504,-84.12423156804373
64,Aserrí,9.751394210751696,-84.13907255880717
65,Curridabat,9.931422675582553,-84.02592087107018
66,Desamparados,9.82230746330088,-84.0580618619453
67,Dota,9.613177834874012,-83.91406078420299
68,Escazú,9.919699189750917,-84.14081125228573
69,Goicoechea,9.965108829077312,-83.99830048323932
70,León Cortés,9.7054499704083,-84.08927761950507
71,Montes de Oca,9.95142933246583,-84.00598178264282
72,Mora,9.88531491022219,-84.27020109518855
73,Moravia,10.026587946032372,-84.01608483367718
74,Pérez Zeledón,9.40955145221038,-83.69733264210026
75,Puriscal,9.771696470550257,-84.3952069466776
76,San José,9.947007867584048,-84.09128332662497
77,Santa Ana,9.926693028938029,-84.16781688777954
78,Tarrazú,9.623945328298774,-84.05895604716287
79,Tibás,9.966605711924915,-84.07759732510087
80,Turrubares,9.7833570621446,-84.48793519566104
81,Vásquez de Coronado,10.056745732814932,-83.97305837970234
