id,name,name_long,lat,lon
ABW,Aruba,Aruba,12.5073394733744,-69.9675732879352
AFG,Afghanistan,Afghanistan,34.9404337395485,67.5836523404431
AGO,Angola,Angola,-10.826752384106,17.4036209877252
AIA,Anguilla,Anguilla,18.2252300344217,-63.0536783440406
ALB,Albania,Albania,41.0970638609242,20.1093082132785
ALA,Aland,Aland Islands,60.2074125926817,19.9942972096145
AND,Andorra,Andorra,42.5299068349607,1.56297345460635
ARE,United Arab Emirates,United Arab Emirates,24.2576896218303,54.3875099483699
ARG,Argentina,Argentina,-37.6607121606338,-65.4578590362947
ARM,Armenia,Armenia,40.210932620687,45.2330155351569
ASM,American Samoa,American Samoa,-14.3070007358856,-170.707745486544
ATA,Antarctica,Antarctica,-73.4476740411852,-26.8524413771224
-99,Ashmore and Cartier Is.,Ashmore and Cartier Islands,NA,NA
ATF,Fr. S. Antarctic Lands,French Southern and Antarctic Lands,-49.059312421621,68.3354554919185
ATG,Antigua and Barb.,Antigua and Barbuda,17.3329091534159,-61.780494091947
AUS,Australia,Australia,-25.2184419993703,137.0358104196
AUT,Austria,Austria,47.5797239578616,13.4733815824152
AZE,Azerbaijan,Azerbaijan,40.1969235873054,46.854115350167
BDI,Burundi,Burundi,-3.05418336069963,29.9961642208967
BEL,Belgium,Belgium,50.5912257998894,4.73010019848879
BEN,Benin,Benin,9.73420555468237,2.3591653157591
BFA,Burkina Faso,Burkina Faso,11.9899842740705,-1.60606810038276
BGD,Bangladesh,Bangladesh,23.5201691718568,90.4966562469446
BGR,Bulgaria,Bulgaria,42.6248276999039,24.9641676223778
BHR,Bahrain,Bahrain,26.0509345319765,50.5493835544621
BHS,Bahamas,Bahamas,24.2110677616549,-76.0928364063423
BIH,Bosnia and Herz.,Bosnia and Herzegovina,44.0676642581881,18.1348152447005
BLM,St-Barthélemy,Saint-Barthélemy,17.8959695822828,-62.8433318919834
BLR,Belarus,Belarus,53.532424743469,28.1175563318887
BLZ,Belize,Belize,17.4219532895237,-88.4657175583563
BMU,Bermuda,Bermuda,32.3071872631135,-64.7652255433688
BOL,Bolivia,Bolivia,-16.5572608618021,-65.1243314929314
BRA,Brazil,Brazil,-9.80109112051585,-55.282277109357
BRB,Barbados,Barbados,13.1609262391552,-59.546095048571
BRN,Brunei,Brunei Darussalam,4.54814019341521,114.780368306845
BTN,Bhutan,Bhutan,27.4026515831795,90.5843433849623
BWA,Botswana,Botswana,-22.5234457071069,24.5846145830549
CAF,Central African Rep.,Central African Republic,6.40134670317562,20.0807376690369
CAN,Canada,Canada,65.2931207718824,-89.7561791179539
CHE,Switzerland,Switzerland,46.7415320848761,8.31301690254663
CHL,Chile,Chile,-44.8406506731009,-72.3105747318145
CHN,China,China,35.3121468520572,106.718650010512
CIV,Côte d'Ivoire,Côte d'Ivoire,7.97097374938833,-5.77027673074531
CMR,Cameroon,Cameroon,6.26066662308992,13.0138549301897
COD,Dem. Rep. Congo,Democratic Republic of the Congo,-4.52494336892572,23.7101541285528
COG,Congo,Republic of Congo,-1.12115532752379,14.3977821671264
COK,Cook Is.,Cook Islands,-21.2255884298306,-159.785094211473
COL,Colombia,Colombia,3.47112229213456,-72.7628473114668
COM,Comoros,Comoros,-12.0028148795067,43.8589414197717
CPV,Cape Verde,Cape Verde,16.0414046826092,-23.9040252461177
CRI,Costa Rica,Costa Rica,9.75602177841418,-84.0398983298159
CUB,Cuba,Cuba,21.7557534452799,-79.3290622325514
CUW,Curaçao,Curaçao,12.2090912367394,-68.9648183402447
CYM,Cayman Is.,Cayman Islands,19.5760911271893,-80.4318193582525
-99,N. Cyprus,Northern Cyprus,NA,NA
CYP,Cyprus,Cyprus,34.9548712816985,33.2066260066076
CZE,Czech Rep.,Czech Republic,49.8840467664867,15.4238018278129
DEU,Germany,Germany,51.1791024462523,10.4403943501539
DJI,Djibouti,Djibouti,11.7522316021962,42.6347586812075
DMA,Dominica,Dominica,15.4372794842335,-61.3614387843721
DNK,Denmark,Denmark,55.7046932225019,10.7312776289455
DOM,Dominican Rep.,Dominican Republic,18.8355225061664,-70.5045157150334
DZA,Algeria,Algeria,29.2289499569523,1.7890009778835
ECU,Ecuador,Ecuador,-1.64311593287371,-81.624333653564
EGY,Egypt,Egypt,27.6758503222963,30.793284308342
ERI,Eritrea,Eritrea,15.1816144028947,39.3832066095739
ESP,Spain,Spain,38.5314445003057,-5.19169358822276
EST,Estonia,Estonia,58.5349691486747,24.5947342318289
ETH,Ethiopia,Ethiopia,9.19418776403204,38.9459324613694
FIN,Finland,Finland,64.3262986416489,24.8746832418547
FJI,Fiji,Fiji,-17.6174277992153,52.4799414882424
FLK,Falkland Is.,Falkland Islands,-51.7338801786713,-59.5360172614721
FRA,France,France,35.0894765741307,-8.31832908318057
FRO,Faeroe Is.,Faeroe Islands,61.9496233868107,-6.81628122321976
FSM,Micronesia,Federated States of Micronesia,7.4567079453565,151.788471757003
GAB,Gabon,Gabon,-0.8627290951358,11.6222390700519
GBR,United Kingdom,United Kingdom,55.5687846615703,-4.11537925833671
GEO,Georgia,Georgia,42.0618780859992,43.869298009477
GGY,Guernsey,Guernsey,49.4782418205608,-2.56020337150381
GHA,Ghana,Ghana,8.29800709206644,-1.07889386367377
GIN,Guinea,Guinea,10.1162821429651,-10.7177183138871
GMB,Gambia,The Gambia,13.4292004343791,-15.5083834570146
GNB,Guinea-Bissau,Guinea-Bissau,11.6796876589382,-15.3841362583139
GNQ,Eq. Guinea,Equatorial Guinea,2.08412541898027,9.72502114518713
GRC,Greece,Greece,38.3587358138627,23.940532132612
GRD,Grenada,Grenada,12.0986115517571,-61.7033513737354
GRL,Greenland,Greenland,72.5135174060777,-41.6712290780497
GTM,Guatemala,Guatemala,15.5685690831092,-90.2004582660559
GUM,Guam,Guam,13.4295672754741,144.772961252437
GUY,Guyana,Guyana,4.37549908429572,-58.8045836022607
HKG,Hong Kong,Hong Kong,22.3726087798119,114.112251620031
HMD,Heard I. and McDonald Is.,Heard I. and McDonald Islands,-53.0754891525281,73.51017145092
HND,Honduras,Honduras,14.7627269950812,-86.2444364035192
HRV,Croatia,Croatia,44.6420392554825,16.3487773064625
HTI,Haiti,Haiti,18.9378301459031,-72.7540479983699
HUN,Hungary,Hungary,47.2322397973546,19.4239276610821
IDN,Indonesia,Indonesia,-2.99608561987365,119.475744439547
IMN,Isle of Man,Isle of Man,54.2224121775502,-4.54528409319658
IND,India,India,23.4023111940475,83.5071327079855
-99,Indian Ocean Ter.,Indian Ocean Territories,NA,NA
IOT,Br. Indian Ocean Ter.,British Indian Ocean Territory,-7.3215011274137,72.448926219977
IRL,Ireland,Ireland,53.4947869331619,-8.43938170198744
IRN,Iran,Iran,33.2892821294506,53.1634053155645
IRQ,Iraq,Iraq,33.7593163948484,44.5988681182866
ISL,Iceland,Iceland,65.3084364982472,-19.8672959953598
ISR,Israel,Israel,31.876474543198,35.2104006053819
ITA,Italy,Italy,42.1859946032091,11.7605987992775
JAM,Jamaica,Jamaica,18.1166464091427,-77.2799492721532
JEY,Jersey,Jersey,49.2097776381171,-2.09893655568271
JOR,Jordan,Jordan,31.3292871409871,36.7469330357913
JPN,Japan,Japan,35.4738989255011,135.292394325755
