id,name,lon,lat
SDS-892,Eastern Equatoria,33.54762,4.915495
SDS-873,Western Bahr el Ghazal State,26.21605,8.17441
SDS-864,Western Equatoria,28.66737,5.577227
SDS-865,Central Equatoria State,31.23321,4.781197
SDS-869,Upper Nile,32.77597,9.908163
SDS-870,Jonglei,32.29465,7.413491
SDS-871,Unity,29.92396,8.889463
SDS-147,Northern Bahr el Ghazal,27.0836,8.88515
SDS-863,Lakes,29.95263,6.608178
SDS-872,Warrap State,28.76245,8.080848
