name,id,lat,lon,department,municipality,dept_code
RIO DE ORO - CASANARE,NA,NA,NA,NA,NA,NA
SAN ALBERTO - CASANARE,NA,NA,NA,NA,NA,NA
SAN MARTIN - CASANARE,NA,NA,NA,NA,NA,NA
TABLON DE TAMARA - CASANARE,NA,NA,NA,NA,NA,NA
TIMBIQUI - CASANARE,NA,NA,NA,NA,NA,NA
VALLEDUPAR - CASANARE,NA,NA,NA,NA,NA,NA
AGUSTIN CODAZZI - CESAR,20013,9.942122326906,-73.24328917574,CESAR,AGUSTÍN CODAZZI,20
CODAZZI - CESAR,NA,NA,NA,NA,NA,NA
CURUMANI - CESAR,20228,9.239031481222916,-73.55280009360544,CESAR,CURUMANÍ,20
SAN MARTIN - CESAR,20770,7.914505428517772,-73.56521090797551,CESAR,SAN MARTÍN,20
ACANDI - CHOCO,27006,8.467382463883824,-77.26880745196583,CHOCÓ,ACANDÍ,27
BAHIA SOLANO - CHOCO,27075,6.25560564020965,-77.38348788664578,CHOCÓ,BAHÍA SOLANO,27
BAJO BAUDO - CHOCO,27077,4.875424074927647,-77.29372396617647,CHOCÓ,BAJO BAUDÓ,27
CAPURGANA - CHOCO,NA,NA,NA,NA,NA,NA
CONDOTO - CHOCO,27205,5.05978234843375,-76.5822094646,CHOCÓ,CONDOTO,27
JURADO - CHOCO,27372,6.97133822382,-77.69857741916667,CHOCÓ,JURADÓ,27
NUQUI - CHOCO,27495,5.672624260040367,-77.3417024585986,CHOCÓ,NUQUÍ,27
QUIBDO - CHOCO,27001,5.866072352929246,-76.49618739517638,CHOCÓ,QUIBDÓ,27
RIOSUCIO - CHOCO,27615,7.41864694307754,-77.21391179919502,CHOCÓ,RIOSUCIO,27
AYAPEL - CORDOBA,23068,8.3043916661538,-75.09168261152074,CÓRDOBA,AYAPEL,23
CERETE - CORDOBA,23162,8.89184069718168,-75.82020400315551,CÓRDOBA,CERETÉ,23
CIENAGA DE ORO - CORDOBA,23189,8.843384138968005,-75.60324936047508,CÓRDOBA,CIÉNAGA DE ORO,23
LORICA - CORDOBA,23417,9.16301242031868,-75.88312750053916,CÓRDOBA,LORICA,23
MONTELIBANO - CORDOBA,23466,8.008928406672728,-75.58206193572727,CÓRDOBA,MONTELÍBANO,23
MONTERIA - CORDOBA,23001,8.590386063826669,-75.94106601413154,CÓRDOBA,MONTERÍA,23
PUEBLO NUEVO - CORDOBA,23570,8.493709008766647,-75.42731700272721,CÓRDOBA,PUEBLO NUEVO,23
PUERTO LIBERTADOR - CORDOBA,23580,7.791424708294227,-75.75094404505585,CÓRDOBA,PUERTO LIBERTADOR,23
VALENCIA - CORDOBA,23855,8.22420660980508,-76.20827806123069,CÓRDOBA,VALENCIA,23
BELTRAN - CUNDINAMARCA,25086,4.7253888126475,-74.76916547535001,CUNDINAMARCA,BELTRÁN,25
CAJICA - CUNDINAMARCA,25126,4.92805735511145,-74.03064589253482,CUNDINAMARCA,CAJICÁ,25
CHIA - CUNDINAMARCA,25175,4.862844802549676,-74.04677047168106,CUNDINAMARCA,CHÍA,25
NEMOCON - CUNDINAMARCA,25486,5.089341313009267,-73.88368017549584,CUNDINAMARCA,NEMOCÓN,25
BOGOTA - DISTRITO CAPITAL,NA,NA,NA,NA,NA,NA
BARRANCOMINAS - GUAINIA,NA,NA,NA,NA,NA,NA
INIRIDA - GUAINIA,94001,3.6973524434424,-68.05013039259549,GUAINÍA,INÍRIDA,94
PUERTO INIRIDA - GUAINIA,NA,NA,NA,NA,NA,NA
SAN FELIPE - GUAINIA,94883,2.1558892409572,-67.3398520668658,GUAINÍA,SAN FELIPE,94
BARRANCAS - GUAJIRA,NA,NA,NA,NA,NA,NA
BUENAVISTA - GUAJIRA,NA,NA,NA,NA,NA,NA
MAICAO - GUAJIRA,NA,NA,NA,NA,NA,NA
MANAURE - GUAJIRA,NA,NA,NA,NA,NA,NA
RIOHACHA - GUAJIRA,NA,NA,NA,NA,NA,NA
SAN JUAN DEL CESAR - GUAJIRA,NA,NA,NA,NA,NA,NA
URIBIA - GUAJIRA,NA,NA,NA,NA,NA,NA
VILLANUEVA - GUAJIRA,NA,NA,NA,NA,NA,NA
MORICHAL - GUAVIARE,NA,NA,NA,NA,NA,NA
SAN JOSE - GUAVIARE,NA,NA,NA,NA,NA,NA
SAN JOSE DEL GUAVIARE - GUAVIARE,95001,2.484391696596333,-72.10700376181502,GUAVIARE,SAN JOSÉ DEL GUAVIARE,95
GARZON - HUILA,41298,2.177040257210359,-75.58281216593832,HUILA,GARZÓN,41
POLONIA - HUILA,NA,NA,NA,NA,NA,NA
YAGUARA - HUILA,41885,2.66479668805,-75.5182961686,HUILA,YAGUARÁ,41
ARIGUANI - MAGDALENA,47058,9.881745648696667,-74.08561602821666,MAGDALENA,ARIGUANÍ,47
CIENAGA - MAGDALENA,47189,10.92932790601111,-74.13824258866667,MAGDALENA,CIÉNAGA,47
FUNDACION - MAGDALENA,47288,10.451202477454238,-73.9895090252654,MAGDALENA,FUNDACIÓN,47
SANTANA - MAGDALENA,NA,NA,NA,NA,NA,NA
ACACIAS - META,50006,3.9776464882501714,-73.68791967533389,META,ACACÍAS,50
APIAY - META,NA,NA,NA,NA,NA,NA
BARRANCA DE UPIA - META,50110,4.60096131745,-72.9970922453,META,BARRANCA DE UPÍA,50
FUENTE DE ORO - META,NA,NA,NA,NA,NA,NA
LOMALINDA - META,NA,NA,NA,NA,NA,NA
MAPIRIPAN - META,50325,3.03545294137828,-71.989582642684,META,MAPIRIPÁN,50
PUERTO GAITAN - META,50568,4.21749478594151,-71.61802725049553,META,PUERTO GAITÁN,50
PUERTO LOPEZ - META,50573,4.081036809914545,-72.89744090228182,META,PUERTO LÓPEZ,50
SAN MARTIN - META,50689,3.635131061755025,-73.22440337880512,META,SAN MARTÍN,50
SAN PEDRO ARIMENA - META,NA,NA,NA,NA,NA,NA
VISTA HERMOSA - META,NA,NA,NA,NA,NA,NA
MAGUI PAYAN - NARIÑO,NA,NA,NA,NA,NA,NA
SANTA BARBARA - NARIÑO,NA,NA,NA,NA,NA,NA
TUMACO - NARIÑO,NA,NA,NA,NA,NA,NA
ABREGO - NORTE DE SANTANDER,54003,8.05021250035,-73.1898038328,NORTE DE SANTANDER,ÁBREGO,54
CUCUTA - NORTE DE SANTANDER,54001,8.139068780978823,-72.46298983000588,NORTE DE SANTANDER,CÚCUTA,54
TIBU - NORTE DE SANTANDER,54810,8.698234656113334,-72.78666024875072,NORTE DE SANTANDER,TIBÚ,54
PUERTO ASIS - PUTUMAYO,86568,0.46201594280141817,-76.46031070151176,PUTUMAYO,PUERTO ASÍS,86
PUERTO LEGUIZAMO - PUTUMAYO,86573,0.05455975481601818,-75.11218513927273,PUTUMAYO,PUERTO LEGUÍZAMO,86
VILLA GARZON - PUTUMAYO,NA,NA,NA,NA,NA,NA
ARMENIA - QUINDIO,63001,4.499912851501236,-75.72051829064407,QUINDÍO,ARMENIA,63
LA TEBAIDA - QUINDIO,63401,4.440513668311134,-75.81264063011594,QUINDÍO,LA TEBAIDA,63
MONTENEGRO - QUINDIO,63470,4.5258267283464,-75.81111494474881,QUINDÍO,MONTENEGRO,63
QUIMBAYA - QUINDIO,63594,4.610668936359,-75.78591444762145,QUINDÍO,QUIMBAYA,63
PROVIDENCIA - ISLA - SAN ANDRES,NA,NA,NA,NA,NA,NA
SAN ANDRES - ISLA - SAN ANDRES,NA,NA,NA,NA,NA,NA
EL CARMEN DE CHUCURI - SANTANDER,68235,6.669452240042533,-73.55485198580942,SANTANDER,EL CARMEN DE CHUCURÍ,68
EL SOCORRO - SANTANDER,NA,NA,NA,NA,NA,NA
MALAGA - SANTANDER,68432,6.711128087920001,-72.7352058136,SANTANDER,MÁLAGA,68
SANVICENTE DE CHUCURI - SANTANDER,NA,NA,NA,NA,NA,NA
VELEZ - SANTANDER,68861,6.1445112680503,-73.69999164510973,SANTANDER,VÉLEZ,68
TOLU - SUCRE,NA,NA,NA,NA,NA,NA
EL ESPINAL - TOLIMA,NA,NA,NA,NA,NA,NA
EL GUAMO - TOLIMA,NA,NA,NA,NA,NA,NA
IBAGUE - TOLIMA,73001,4.434694601950806,-75.21638108565423,TOLIMA,IBAGUÉ,73
JABALCON - TOLIMA,NA,NA,NA,NA,NA,NA
LERIDA - TOLIMA,73408,4.840061469532,-74.92725340448,TOLIMA,LÉRIDA,73
MARIQUITA - TOLIMA,NA,NA,NA,NA,NA,NA
PURIFICACION - TOLIMA,73585,3.85865919706,-74.90147095364445,TOLIMA,PURIFICACIÓN,73
BUGA - VALLE DEL CAUCA,NA,NA,NA,NA,NA,NA
CALIMA EL DARIEN - VALLE DEL CAUCA,NA,NA,NA,NA,NA,NA
GUACARI - VALLE DEL CAUCA,76318,3.781839421788875,-76.2999641838863,VALLE DEL CAUCA,GUACARÍ,76
JAMUNDI - VALLE DEL CAUCA,76364,3.2050797784796847,-76.5918736704362,VALLE DEL CAUCA,JAMUNDÍ,76
RIOFRIO - VALLE DEL CAUCA,76616,4.112833899681031,-76.35698635732889,VALLE DEL CAUCA,RIOFRÍO,76
TULUA - VALLE DEL CAUCA,76834,4.065859773869865,-76.13687705639762,VALLE DEL CAUCA,TULUÁ,76
CARURU - VAUPES,97161,1.01130519127,-71.2936075006,VAUPÉS,CARURÚ,97
MITU - VAUPES,97001,1.0435543682987818,-70.3535849813516,VAUPÉS,MITÚ,97
PACOA - VAUPES,97511,0.1947752371697,-70.9364645513184,VAUPÉS,PACOA,97
TARAIRA - VAUPES,97666,-0.6422157110165,-69.76804473845,VAUPÉS,TARAIRA,97
EL TAPON - VICHADA,NA,NA,NA,NA,NA,NA
LA GAVIOTA - VICHADA,NA,NA,NA,NA,NA,NA
PUERTO CARRENO - VICHADA,99001,5.860757684927313,-67.99729367827375,VICHADA,PUERTO CARREÑO,99
SANTA RITA - VICHADA,NA,NA,NA,NA,NA,NA
SANTA ROSALIA - VICHADA,99624,4.99286057942,-70.95047109194999,VICHADA,SANTA ROSALÍA,99
