id,name,lon,lat
AU.AS,Ashmore and Cartier Islands,123.0796,-12.2665
AU.AC,Australian Capital Territory,149.0025,-35.48881
AU.CR,Coral Sea Islands Territory,152.3982,-20.40556
AU.JB,Jervis Bay Territory,150.6905,-35.15247
AU.NS,New South Wales,147.0085,-32.16566
AU.NT,Northern Territory,133.3655,-19.41483
AU.QL,Queensland,144.5461,-22.56759
AU.SA,South Australia,135.8314,-30.10814
AU.TS,Tasmania,146.6261,-41.96854
AU.VI,Victoria,144.3043,-36.85009
AU.WA,Western Australia,122.1817,-25.46601
