id,name,division,lon,lat
5921,Pozuelo de Alarcón,Comunidad de Madrid,-3.813754,40.42898
5922,Quijorna,Comunidad de Madrid,-4.060317,40.41841
5923,Rivas-Vaciamadrid,Comunidad de Madrid,-3.528074,40.34006
5924,San Fernando de Henares,Comunidad de Madrid,-3.484739,40.43576
5925,San Sebastián de los Reyes,Comunidad de Madrid,-3.599649,40.57534
5926,Torrejón de Ardoz,Comunidad de Madrid,-3.459857,40.47007
5927,Tres Cantos,Comunidad de Madrid,-3.726039,40.61156
5928,Velilla de San Antonio,Comunidad de Madrid,-3.475736,40.36391
5929,Villanueva de la Cañada,Comunidad de Madrid,-3.985452,40.44774
5930,Villanueva del Pardillo,Comunidad de Madrid,-3.968268,40.49028
5931,Villaviciosa de Odón,Comunidad de Madrid,-3.936518,40.36089
5932,Aldea del Fresno,Comunidad de Madrid,-4.223351,40.30936
5933,Arroyomolinos,Comunidad de Madrid,-3.915788,40.2802
5934,Batres,Comunidad de Madrid,-3.926366,40.22284
5935,Cadalso de los Vidrios,Comunidad de Madrid,-4.432615,40.29879
5936,Casarrubuelos,Comunidad de Madrid,-3.832348,40.17238
5937,Cenicientos,Comunidad de Madrid,-4.507776,40.24401
5938,Chapinería,Comunidad de Madrid,-4.210481,40.37069
5939,Colmenar del Arroyo,Comunidad de Madrid,-4.193632,40.40599
5940,Colmenarejo,Comunidad de Madrid,-4.019008,40.53756
5941,Cubas de la Sagra,Comunidad de Madrid,-3.836425,40.19094
5942,El Álamo,Comunidad de Madrid,-3.989395,40.23299
5943,Fuenlabrada,Comunidad de Madrid,-3.797573,40.28383
5944,Griñón,Comunidad de Madrid,-3.842898,40.21795
5945,Humanes de Madrid,Comunidad de Madrid,-3.825935,40.25162
5946,Móstoles,Comunidad de Madrid,-3.889827,40.31863
5947,Moraleja de Enmedio,Comunidad de Madrid,-3.87964,40.25782
5948,Navalagamella,Comunidad de Madrid,-4.129816,40.44004
5949,Navalcarnero,Comunidad de Madrid,-4.014247,40.28911
5950,Navas del Rey,Comunidad de Madrid,-4.271388,40.38348
5951,Parla,Comunidad de Madrid,-3.766886,40.23131
5952,Pelayos de la Presa,Comunidad de Madrid,-4.327632,40.36033
5953,Rozas de Puerto Real,Comunidad de Madrid,-4.515268,40.30248
5954,San Martín de Valdeiglesias,Comunidad de Madrid,-4.365648,40.36227
5955,Serranillos del Valle,Comunidad de Madrid,-3.894066,40.20695
5956,Sevilla la Nueva,Comunidad de Madrid,-4.03882,40.35387
5957,Torrejón de la Calzada,Comunidad de Madrid,-3.797996,40.20332
5958,Torrejón de Velasco,Comunidad de Madrid,-3.747169,40.17464
5959,Valdemorillo,Comunidad de Madrid,-4.068526,40.50385
5960,Valdemoro,Comunidad de Madrid,-3.657323,40.18365
5961,Villa del Prado,Comunidad de Madrid,-4.306286,40.2753
5962,Villamanta,Comunidad de Madrid,-4.121155,40.29167
5963,Villamantilla,Comunidad de Madrid,-4.143595,40.3425
5964,Villanueva de Perales,Comunidad de Madrid,-4.090498,40.3728
5965,Alpedrete,Comunidad de Madrid,-4.0204,40.66187
5966,Becerril de la Sierra,Comunidad de Madrid,-3.936555,40.70685
5967,Cercedilla,Comunidad de Madrid,-4.059766,40.75592
5968,Collado Mediano,Comunidad de Madrid,-4.032075,40.69373
5969,Collado Villalba,Comunidad de Madrid,-3.987699,40.64231
5970,El Boalo,Comunidad de Madrid,-3.922046,40.70964
5971,El Escorial,Comunidad de Madrid,-4.094771,40.58548
5972,Fresnedillas de la Oliva,Comunidad de Madrid,-4.182901,40.47908
5973,Galapagar,Comunidad de Madrid,-3.98617,40.57496
5974,Guadarrama,Comunidad de Madrid,-4.109765,40.67711
5975,Hoyo de Manzanares,Comunidad de Madrid,-3.892557,40.61596
5976,Jurisdicción Macomunada de El Boalo y Manzanares el Real (El Chaparral),Comunidad de Madrid,-3.916897,40.68202
5977,Jurisdicción Mancomunada de Cerdedilla y Navacerrada,Comunidad de Madrid,-4.013833,40.76659
5978,Los Molinos,Comunidad de Madrid,-4.093006,40.72093
5979,Manzanares el Real,Comunidad de Madrid,-3.878113,40.74991
5980,Moralzarzal,Comunidad de Madrid,-3.945918,40.66433
5981,Navacerrada,Comunidad de Madrid,-4.005061,40.74914
5982,Robledo de Chavela,Comunidad de Madrid,-4.24166,40.48119
5983,San Lorenzo de El Escorial,Comunidad de Madrid,-4.130481,40.61864
5984,Santa María de la Alameda,Comunidad de Madrid,-4.245105,40.59383
5985,Torrelodones,Comunidad de Madrid,-3.92632,40.57571
5986,Valdemaqueda,Comunidad de Madrid,-4.299991,40.50717
5987,Zarzalejo,Comunidad de Madrid,-4.179886,40.54368
5988,Ambite,Comunidad de Madrid,-3.176855,40.34028
5989,Aranjuez,Comunidad de Madrid,-3.679427,39.99449
5990,Belmonte de Tajo,Comunidad de Madrid,-3.333162,40.13783
5991,Brea de Tajo,Comunidad de Madrid,-3.120759,40.24052
5992,Carabaña,Comunidad de Madrid,-3.246586,40.25461
5993,Chinchón,Comunidad de Madrid,-3.478365,40.16262
5994,Ciempozuelos,Comunidad de Madrid,-3.60709,40.1516
5995,Colmenar de Oreja,Comunidad de Madrid,-3.451406,40.08134
5996,Estremera,Comunidad de Madrid,-3.108686,40.14632
5997,Fuentidueña de Tajo,Comunidad de Madrid,-3.159263,40.11091
5998,Morata de Tajuña,Comunidad de Madrid,-3.447653,40.23121
5999,Orusco de Tajuña,Comunidad de Madrid,-3.210891,40.28974
6000,Perales de Tajuña,Comunidad de Madrid,-3.353392,40.22689
6001,San Martín de la Vega,Comunidad de Madrid,-3.561484,40.24325
6002,Tielmes,Comunidad de Madrid,-3.302271,40.23329
6003,Titulcia,Comunidad de Madrid,-3.560699,40.14556
6004,Valdaracete,Comunidad de Madrid,-3.199203,40.19839
6005,Valdelaguna,Comunidad de Madrid,-3.371811,40.17635
6006,Villaconejos,Comunidad de Madrid,-3.498992,40.11285
6007,Villamanrique de Tajo,Comunidad de Madrid,-3.249417,40.0759
6008,Villarejo de Salvanés,Comunidad de Madrid,-3.268296,40.13025
