id,name,distrito,lon,lat
21-3,Casco Histórico de Barajas,Barajas,-3.578866,40.47401
9-3,Ciudad Universitaria,Moncloa - Aravaca,-3.738399,40.45595
9-6,El Plantío,Moncloa - Aravaca,-3.820908,40.46974
16-4,Pinar del Rey,Hortaleza,-3.647031,40.47249
16-5,Apostol Santiago,Hortaleza,-3.659418,40.4764
5-6,Castilla,Chamartín,-3.679723,40.47432
15-9,Costillares,Ciudad Lineal,-3.668518,40.47665
8-4,Pilar,Fuencarral - El Pardo,-3.70959,40.47714
8-3,Peñagrande,Fuencarral - El Pardo,-3.725802,40.47878
8-5,La Paz,Fuencarral - El Pardo,-3.696597,40.48114
8-2,Fuentelareina,Fuencarral - El Pardo,-3.741787,40.48111
21-4,Timón,Barajas,-3.602764,40.47757
21-2,Aeropuerto,Barajas,-3.563446,40.47856
16-6,Valdefuentes,Hortaleza,-3.635869,40.4937
8-7,Mirasierra,Fuencarral - El Pardo,-3.719573,40.49631
8-6,Valverde,Fuencarral - El Pardo,-3.678787,40.50023
8-8,El Goloso,Fuencarral - El Pardo,-3.700003,40.53439
8-1,El Pardo,Fuencarral - El Pardo,-3.76745,40.5529
19-1,Casco histórico de Vicálvaro,Vicálvaro,-3.579807,40.38815
19-4,El Cañaveral,Vicálvaro,-3.545805,40.40364
