id,name,division,lon,lat
125,Conil de la Frontera,Andalucía,-6.07695,36.31209
126,Medina-Sidonia,Andalucía,-5.866688,36.39628
127,Paterna de Rivera,Andalucía,-5.852527,36.52228
128,Vejer de la Frontera,Andalucía,-5.941587,36.28216
129,Alcalá del Valle,Andalucía,-5.149398,36.9216
130,Algar,Andalucía,-5.644141,36.65532
131,Algodonales,Andalucía,-5.433606,36.89125
132,Arcos de la Frontera,Andalucía,-5.754365,36.74369
133,Benaocaz,Andalucía,-5.452598,36.71243
134,Bornos,Andalucía,-5.712946,36.84937
135,El Bosque,Andalucía,-5.510746,36.75378
136,El Gastor,Andalucía,-5.344896,36.84647
137,Espera,Andalucía,-5.80138,36.87858
138,Grazalema,Andalucía,-5.38938,36.77093
139,Jerez de la Frontera,Andalucía,-5.6471,36.6734
140,Olvera,Andalucía,-5.281531,36.95087
141,Prado del Rey,Andalucía,-5.545772,36.78502
142,Puerto Serrano,Andalucía,-5.476156,36.9788
143,Setenil de las Bodegas,Andalucía,-5.17599,36.87138
144,Torre Alháquime,Andalucía,-5.231,36.9107
145,Ubrique,Andalucía,-5.463551,36.65857
146,Villaluenga del Rosario,Andalucía,-5.367051,36.68643
147,Villamartín,Andalucía,-5.616576,36.8731
148,Zahara,Andalucía,-5.444621,36.82999
149,Aguilar de la Frontera,Andalucía,-4.677461,37.46218
150,Fernán-Núñez,Andalucía,-4.728965,37.68643
151,La Rambla,Andalucía,-4.783674,37.66727
152,Montalbán de Córdoba,Andalucía,-4.750904,37.5507
153,Montemayor,Andalucía,-4.656649,37.6556
154,Montilla,Andalucía,-4.638633,37.57224
155,Monturque,Andalucía,-4.5812,37.47578
156,Moriles,Andalucía,-4.628341,37.42591
157,Puente Genil,Andalucía,-4.761248,37.40257
158,Santaella,Andalucía,-4.855124,37.54935
159,Añora,Andalucía,-4.867138,38.32389
160,Alcaracejos,Andalucía,-4.935766,38.29401
161,Belalcázar,Andalucía,-5.148664,38.59149
162,Belmez,Andalucía,-5.183843,38.2657
163,Cardeña,Andalucía,-4.367248,38.27683
164,Conquista,Andalucía,-4.491647,38.40531
165,Dos Torres,Andalucía,-4.85331,38.47059
166,El Guijo,Andalucía,-4.75679,38.52429
167,El Viso,Andalucía,-4.993686,38.59884
168,Fuente la Lancha,Andalucía,-5.048472,38.41975
169,Fuente Obejuna,Andalucía,-5.427759,38.26474
170,Hinojosa del Duque,Andalucía,-5.188813,38.45356
171,La Granjuela,Andalucía,-5.337325,38.36038
172,Los Blázque,Andalucía,-5.453933,38.4246
173,Peñarroya-Pueblonuevo,Andalucía,-5.244265,38.31787
174,Pedroche,Andalucía,-4.741633,38.42177
175,Pozoblanco,Andalucía,-4.798609,38.26302
176,Santa Eufemia,Andalucía,-4.897425,38.60601
177,Torrecampo,Andalucía,-4.634736,38.4625
178,Valsequillo,Andalucía,-5.375053,38.45896
179,Villanueva de Córdoba,Andalucía,-4.629566,38.27607
180,Villanueva del Duque,Andalucía,-5.038719,38.34853
181,Villaralto,Andalucía,-4.975094,38.45521
182,Adamuz,Andalucía,-4.567564,38.09035
183,Espiel,Andalucía,-5.076347,38.13277
184,Hornachuelos,Andalucía,-5.328558,37.94796
185,Montoro,Andalucía,-4.365599,38.10434
186,Obejo,Andalucía,-4.760441,38.07411
187,Villaharta,Andalucía,-4.899977,38.1386
188,Villanueva del Rey,Andalucía,-5.189281,38.14368
189,Villaviciosa de Córdoba,Andalucía,-5.007923,38.01341
190,Almodóvar del Río,Andalucía,-5.00968,37.8396
191,Bujalance,Andalucía,-4.372603,37.91625
192,Córdoba,Andalucía,-4.70167,37.84922
193,Cañete de las Torres,Andalucía,-4.32925,37.84862
194,Castro del Río,Andalucía,-4.479303,37.68242
195,El Carpio,Andalucía,-4.490077,37.93352
196,Espejo,Andalucía,-4.556951,37.66951
197,La Victoria,Andalucía,-4.873166,37.67307
198,Pedro Abad,Andalucía,-4.455567,37.96945
199,Posadas,Andalucía,-5.117751,37.83778
200,Villa del Río,Andalucía,-4.298366,37.98112
201,Villafranca de Córdoba,Andalucía,-4.556439,37.95457
202,Fuente Palmera,Andalucía,-5.138849,37.67986
203,Palma del Río,Andalucía,-5.29208,37.67258
204,Almodóvar del Río,Andalucía,-5.046582,37.765
205,Fuente Palmera,Andalucía,-5.088498,37.72287
206,Guadalcázar,Andalucía,-4.972849,37.7516
207,La Carlota,Andalucía,-4.932061,37.67854
208,La Rambla,Andalucía,-4.971319,37.72323
209,La Victoria,Andalucía,-4.85264,37.69887
210,San Sebastián de los Ballesteros,Andalucía,-4.830646,37.66803
211,Baena,Andalucía,-4.312706,37.67929
212,Benamejí,Andalucía,-4.542126,37.2476
213,Cabra,Andalucía,-4.449888,37.48982
214,Doña Mencía,Andalucía,-4.369124,37.55293
215,Encinas Reales,Andalucía,-4.475029,37.27844
216,Lucena,Andalucía,-4.541908,37.35734
217,Nueva Carteya,Andalucía,-4.447718,37.59967
218,Palenciana,Andalucía,-4.59139,37.249
219,Valenzuela,Andalucía,-4.24115,37.76969
220,Almedinilla,Andalucía,-4.067235,37.43591
221,Carcabuey,Andalucía,-4.303811,37.44851
222,Fuente-Tójar,Andalucía,-4.128973,37.5185
223,Iznájar,Andalucía,-4.307045,37.2661
224,Luque,Andalucía,-4.238431,37.55648
225,Priego de Córdoba,Andalucía,-4.192423,37.43148
226,Rute,Andalucía,-4.368373,37.34822
227,Zuheros,Andalucía,-4.332426,37.52676
228,Castilléjar,Andalucía,-2.67807,37.73593
229,Castril,Andalucía,-2.774116,37.82703
230,Galera,Andalucía,-2.563436,37.71777
