id,name,lon,lat
UMI-5174,Johnston Atoll,-169.535,16.73709
UMI-5173,Jarvis Island,-160.0198,-0.3796605
UMI-5171,Baker Island,-176.4747,0.2018179
UMI-5172,Howland Island,-176.6378,0.7999582
UMI-5179,Wake Island,166.6416,19.28715
UMI-5176,Midway Islands,-177.3677,28.20721
UMI-5177,Navassa Island,-75.01466,18.40704
UMI-5178,Palmyra Atoll,-162.0765,5.880753
